종목코드,종목명,현재가격,평균적정가격,평균기대수익률,대표평가의견
122870,와이지엔터테인먼트,60700,126667,108.68,Buy
259960,크래프톤,253000,450000,77.87,Buy
376300,디어유,31950,52000,62.75,Buy
041510,에스엠,102000,161600,58.43,Buy
000720,현대건설,59300,91667,54.58,Buy
439260,대한조선,65100,100000,53.61,Buy
079550,LIG넥스원,402000,611667,52.15,Buy
035900,JYP Ent.,66300,100143,51.04,Buy
012450,한화에어로스페이스,869000,1303333,49.98,Buy
028670,팬오션,3750,5575,48.67,Buy
229640,LS에코에너지,34750,51000,46.76,Buy
294870,HDC현대산업개발,20300,29750,46.55,Buy
251270,넷마블,51900,76000,46.44,매수
271560,오리온,104800,153333,46.31,Buy
052690,한전기술,88900,130000,46.23,nr
272210,한화시스템,48600,70750,45.58,Buy
034020,두산에너빌리티,73100,106000,45.0,Buy
034230,파라다이스,18090,26200,44.83,Buy
178320,서진시스템,21800,31500,44.5,Buy
192820,코스맥스,174100,249500,43.31,Buy
267250,HD현대,203500,288667,41.85,Buy
035420,NAVER,262500,372000,41.71,Buy
035720,카카오,58700,82667,40.83,매수
036200,유니셈,9270,13000,40.24,매수
000100,유한양행,116700,163333,39.96,Buy
011170,롯데케미칼,78000,108750,39.43,Buy
036460,한국가스공사,40250,55333,37.47,Buy
139480,이마트,80000,109667,37.08,Buy
062040,산일전기,132300,181250,37.0,Buy
006360,GS건설,18800,25600,36.17,Buy
034220,LG디스플레이,12150,16500,35.8,Buy
097950,CJ제일제당,218000,295000,35.32,Buy
375500,DL이앤씨,39200,53000,35.2,Buy
006400,삼성SDI,288500,390000,35.18,Buy
278470,에이피알,238000,313333,31.65,Buy
352820,하이브,292000,382857,31.12,Buy
086280,현대글로비스,160300,210000,31.01,Buy
000150,두산,855000,1114000,30.29,Buy
035760,CJ ENM,64500,84000,30.23,Buy
002380,KCC,400500,521000,30.09,Buy
003230,삼양식품,1380000,1793750,29.98,Buy
005490,POSCO홀딩스,310500,403333,29.9,Buy
068270,셀트리온,187400,243333,29.84,Buy
099320,쎄트렉아이,55500,71750,29.28,Buy
028260,삼성물산,216000,278333,28.86,Buy
064350,현대로템,182800,235000,28.56,Buy
018670,SK가스,258000,330000,27.9,Buy
071320,지역난방공사,104000,133000,27.88,Buy
240810,원익IPS,56700,71667,26.4,매수
012330,현대모비스,296000,372500,25.84,Buy
005300,롯데칠성,124600,156667,25.74,Buy
033780,KT&G,145600,181250,24.48,Buy
012510,더존비즈온,93800,116750,24.46,Buy
214150,클래시스,55300,68333,23.57,Buy
066570,LG전자,86400,106667,23.45,Buy
095610,테스,38200,46667,22.16,매수
039030,이오테크닉스,248000,300000,20.97,매수
009830,한화솔루션,26700,31667,18.6,Buy
047810,한국항공우주,106600,126333,18.51,Buy
032350,롯데관광개발,21950,26000,18.45,매수
010140,삼성중공업,25350,30000,18.34,Buy
267260,HD현대일렉트릭,751000,885000,17.84,Buy
383220,F&F,76200,89667,17.67,매수
298040,효성중공업,1910000,2245000,17.54,Buy
018880,한온시스템,3535,4133,16.93,Hold
011070,LG이노텍,231000,270000,16.88,Buy
005930,삼성전자,94800,109000,14.98,Buy
006260,LS,182200,208333,14.35,매수
009150,삼성전기,217500,247000,13.56,Buy
000270,기아,114000,128333,12.57,Buy
005380,현대차,259500,290000,11.76,Buy
051910,LG화학,367000,410167,11.76,Buy
090430,아모레퍼시픽,134400,150000,11.61,매수
004170,신세계,228000,245000,7.46,Buy
010950,S-Oil,89700,95500,6.46,Buy
161390,한국타이어앤테크놀로지,57900,60333,4.2,Buy
373220,LG에너지솔루션,425500,431556,1.42,Buy
083650,비에이치아이,42900,0,0.0,nr
100840,SNT에너지,38050,0,0.0,NotRated
252990,샘씨엔에스,6290,0,0.0,NotRated
128940,한미약품,445500,440000,-1.23,Buy
000660,SK하이닉스,521000,510000,-2.11,Buy
356860,티엘비,62400,59500,-4.64,Buy
020150,롯데에너지머티리얼즈,41200,38833,-5.74,Buy
010120,LS ELECTRIC,441000,395000,-10.43,Buy
353200,대덕전자,47350,39333,-16.93,Buy
007660,이수페타시스,122100,99600,-18.43,Buy
